"","category","continent"
"1","travel","Asia"
"2","travel","America"
"3","travel","America"
"4","travel","Asia"
"5","travel","Asia"
"6","travel","Europe"
"7","travel","America"
"8","travel","Asia"
"9","travel","Asia"
"10","travel","America"
"11","travel","Europe"
"12","travel","America"
"13","travel","America"
"14","travel","America"
"15","travel","Asia"
"16","travel","Africa"
"17","travel","Asia"
"18","travel","Asia"
"19","travel","Asia"
"20","travel","Europe"
"21","travel","America"
"22","travel","Europe"
"23","travel","Australia"
"24","travel","America"
"25","travel","America"
"26","travel","America"
"27","travel","Europe"
"28","travel","Europe"
"29","travel","Europe"
"30","travel","Africa"
"31","travel","America"
"32","travel","America"
"33","travel","Asia"
"34","travel","Africa"
"35","travel","America"
"36","travel","America"
"37","travel","Europe"
"38","travel","Europe"
"39","travel","America"
"40","travel","America"
"41","travel","Europe"
"42","travel","Asia"
"43","travel","America"
"44","travel","America"
"45","travel","Asia"
"46","travel","America"
"47","travel","Europe"
"48","travel","Asia"
"49","travel","America"
"50","travel","Europe"
"51","travel","Australia"
"52","travel","America"
"53","travel","America"
"54","travel","Asia"
"55","travel","Europe"
"56","travel","Asia"
"57","travel","Asia"
"58","travel","America"
"59","travel","Africa"
"60","travel","Australia"
"61","travel","Europe"
"62","travel","Europe"
"63","travel","America"
"64","travel","Asia"
"65","travel","America"
"66","travel","Asia"
"67","travel","Australia"
"68","travel","Africa"
"69","travel","America"
"70","travel","Asia"
"71","travel","America"
"72","travel","America"
"73","travel","Asia"
"74","travel","America"
"75","travel","America"
"76","travel","Asia"
"77","travel","America"
"78","travel","Asia"
"79","travel","Europe"
"80","travel","Asia"
"81","travel","America"
"82","travel","Asia"
"83","travel","Asia"
"84","travel","Europe"
"85","travel","Europe"
"86","travel","America"
"87","travel","Europe"
"88","travel","Asia"
"89","travel","Europe"
"90","travel","America"
"91","travel","Asia"
"92","travel","America"
"93","travel","Europe"
"94","travel","Asia"
"95","travel","America"
"96","travel","Asia"
"97","travel","America"
"98","travel","Europe"
"99","travel","Asia"
"100","travel","Europe"
"101","travel","Asia"
"102","travel","Europe"
"103","travel","Europe"
"104","travel","Asia"
"105","travel","America"
"106","travel","America"
"107","travel","America"
"108","travel","Africa"
"109","travel","Europe"
"110","travel","Asia"
"111","travel","America"
"112","travel","America"
"113","travel","America"
"114","travel","Europe"
"115","travel","Africa"
"116","travel","Europe"
"117","travel","America"
"118","travel","Asia"
"119","travel","Africa"
"120","travel","Asia"
"121","travel","Europe"
